,cust_number,buisness_year,doc_id,converted_usd,business_code_enc,name_customer_enc,cust_payment_terms_enc,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_createdate,month_of_createdate,year_of_createdate,day_of_due,month_of_due,year_of_due,clear_date,Aging Bucket
0,140105686,2020.0,2960623488.0,2309.7899999999995,66,2714,5,30,3,2020,31,3,2020,10,4,2020,1970-01-11 05:08:42.125000010,0-15
1,200744019,2020.0,1930659387.0,11173.02,66,2798,18,19,3,2020,19,3,2020,3,4,2020,1970-01-08 13:45:49.750000003,0-15
2,200418007,2020.0,1930610806.0,3525.59,66,89,18,11,3,2020,11,3,2020,26,3,2020,1970-01-02 01:21:47.375000026,0-15
3,200739534,2020.0,1930788296.0,121105.65,66,2043,18,15,4,2020,15,4,2020,30,4,2020,1969-12-29 02:16:44.453125030,
4,200353024,2020.0,1930817482.0,3726.06,66,733,34,23,4,2020,16,4,2020,26,4,2020,1969-12-29 14:12:27.671875026,
5,200744019,2020.0,1930676042.0,5893.01,66,2789,18,21,3,2020,21,3,2020,5,4,2020,1970-01-04 22:48:22.812500005,0-15
6,140106408,2020.0,2960618790.0,64982.589,66,2987,5,6,3,2020,6,3,2020,16,3,2020,1970-01-21 15:24:47.125000016,16-30
7,200337148,2020.0,1930592246.0,11380.83,66,571,18,2,3,2020,2,3,2020,17,3,2020,1969-12-31 07:13:52.601562517,
8,200794332,2020.0,1930731070.0,3863.93,66,626,20,7,4,2020,7,4,2020,22,4,2020,1970-01-01 00:28:11.914062522,0-15
9,200794332,2020.0,1930803605.0,74453.01,66,632,20,23,4,2020,23,4,2020,8,5,2020,1969-12-30 17:19:39.265625008,
10,200803720,2020.0,1930698352.0,138.6,66,721,36,25,3,2020,16,3,2020,8,4,2020,1969-12-27 13:49:45.031250008,
11,200794332,2020.0,1930647189.0,32715.47,66,627,20,13,3,2020,13,3,2020,28,3,2020,1970-01-01 07:21:10.871093778,0-15
12,200020431,2020.0,1930861637.0,174.72,66,728,36,6,5,2020,1,5,2020,24,5,2020,1969-12-27 18:25:01.062500024,
13,200769623,2020.0,1930635649.0,767.78,66,2996,32,12,3,2020,12,3,2020,27,3,2020,1970-01-03 08:56:59.296875027,0-15
14,140105785,2020.0,2960624627.0,1980.7199999999998,66,2497,5,27,3,2020,31,3,2020,10,4,2020,1970-01-11 15:37:13.125000010,0-15
15,200769623,2020.0,1930577078.0,14514.68,66,2995,32,28,2,2020,28,2,2020,14,3,2020,1970-01-07 12:38:57.187500014,0-15
16,200769623,2020.0,1930774741.0,55400.31,66,3000,32,10,4,2020,10,4,2020,25,4,2020,1970-01-04 16:20:46.093750025,0-15
